Base Position	Mean Q_score
0	31.222923109166633
1	31.49547372077161
2	35.169197750919
3	35.87730723476443
4	36.05591277392993
5	39.5506106175444
6	39.77021841324605
7	39.70922479183016
8	39.98892369323451
9	40.06332273404002
10	40.11517838385998
11	40.142210654968196
12	40.09451605680616
13	40.109002470809564
14	40.10371549623923
15	40.09659041116552
16	40.016267500127746
17	40.04215878993774
18	40.05327138494443
19	40.050363882190105
20	40.02188106886891
21	40.08035327466817
22	40.0115544722295
23	40.058981722328795
24	40.01520082332342
25	40.00439260519702
26	39.94826777957189
27	39.97061269609536
28	39.92286823245902
29	39.964209919822736
30	39.87126413173964
31	39.92833220477726
32	39.91163912010643
33	39.95529881144901
34	39.96827222796718
35	39.96692314471429
36	39.95372138382122
37	39.93688857707882
38	39.948957996731096
39	39.94002121504387
40	39.930072312343505
41	39.91883233820443
42	39.92033792992617
43	39.917981415977046
44	39.83195902934139
45	39.86804583377665
46	39.8785595493741
47	39.87229155799737
48	39.87041543124131
49	39.866143539989515
50	39.864623630458325
51	39.861545301425686
52	39.7819945646633
53	39.81650838492887
54	39.82449772260429
55	39.824869985650096
56	39.77365913097315
57	39.79076619782423
58	39.78457744811707
59	39.772296964204735
60	39.756392346489015
61	39.75362925612315
62	39.702556148647496
63	39.72399410599968
64	39.717504435435195
65	39.705133848066815
66	39.69109918563756
67	39.68700404527489
68	39.671315922712466
69	39.58137119686272
70	39.60601091263939
71	39.600186526496955
72	39.594918066335396
73	39.58233394611912
74	39.55505580366235
75	39.544100951418436
76	38.85292005552348
77	39.24199936853523
78	39.34904647091917
79	39.401834259506344
80	39.48992211358516
81	39.50082710035476
82	39.48008330990232
83	39.464340878407484
84	39.44607999360142
85	39.43982014856455
86	39.401997433162364
87	39.25343905143031
88	39.2977405756105
89	39.303298354266545
90	39.28939502071022
91	39.249209619889314
92	39.2169503608952
93	39.16092156333693
94	39.138498886296595
95	39.14206550200338
96	39.11954284715566
97	38.900340640435616
98	38.957108780051044
99	39.03689822925726
100	37.889663010605794
