Base Position	Mean Q_score
0	30.72067407806349
1	31.12469097324625
2	34.6151708934234
3	35.110007094650214
4	35.66210768132517
5	38.838784775926314
6	39.05404649711586
7	39.07006174359193
8	39.231285850783586
9	39.08007259453203
10	39.17580358800133
11	39.244285067207976
12	39.15337295373148
13	39.19939283465709
14	39.11708017157785
15	38.970711091055
16	38.985559688038435
17	39.10655164636324
18	39.003622366303574
19	39.0629692084059
20	38.94187784376101
21	38.98920963430826
22	39.067909744814244
23	39.07967962231351
24	39.05596855003996
25	39.07747635525501
26	39.05206742303455
27	39.078967873061764
28	39.04401280387243
29	39.04524019697172
30	38.94999422174327
31	38.66502261303429
32	38.66427110125451
33	38.530537536926275
34	38.50570812240158
35	38.44815871576848
36	38.414032568386894
37	38.44574242308108
38	38.41232244127709
39	38.66718307192432
40	38.80834943715718
41	38.90423288185098
42	38.850521743588544
43	38.96338116511652
44	38.948943137385285
45	38.9159997137098
46	38.935742739489285
47	38.885636793502364
48	38.8698479396327
49	38.83103142136486
50	38.91011790520174
51	38.93244101144366
52	38.930457791907294
53	38.72372107212635
54	38.758095523805316
55	38.84019050819387
56	38.857861990864095
57	38.790045391886785
58	38.76041147956028
59	38.69727899098609
60	38.68475354085312
61	38.73458131834607
62	38.754202264704396
63	38.66924979276955
64	38.705652725585935
65	38.628587700993236
66	38.6966914361836
67	38.59966113866005
68	38.5619995103287
69	38.61350408208881
70	38.61373918861093
71	38.549880568594
72	38.50628967052431
73	38.50487903139159
74	38.50400264835357
75	38.39527472269021
76	37.48826937742202
77	37.870653257727
78	38.28072979297936
79	38.372519220106234
80	38.49141222455778
81	38.49557468443358
82	38.52822631883422
83	38.44628708511397
84	38.353879392976786
85	38.36585358218923
86	38.30248031881764
87	38.327335705887236
88	38.305504893582786
89	38.24659188604161
90	38.216820919895085
91	38.13524377898329
92	38.114292141553925
93	38.08365079904915
94	37.89837586147209
95	37.92688111021039
96	37.94665281577073
97	37.88632680026538
98	37.63822089251816
99	37.72808970494005
100	35.79413221835821
