Base Position	Mean Q_score
0	30.5615005459282
1	30.981481641482546
2	34.12816463703489
3	34.81023175349472
4	35.35224032986258
5	38.31130867493857
6	38.44838565464111
7	38.57174666660413
8	38.74398695203213
9	38.629278340437516
10	38.71557301231159
11	38.77633952364648
12	38.67892139497924
13	38.71128038492196
14	38.589157122900374
15	38.39069327573954
16	38.43380197827692
17	38.576396251794975
18	38.41544901514454
19	38.51311227458399
20	38.38355313228002
21	38.40553664754416
22	38.53200487101752
23	38.553022674719855
24	38.536181227920025
25	38.544619108005406
26	38.52622985663182
27	38.55348232577509
28	38.51725110895137
29	38.509062309378734
30	38.41252225740509
31	38.08953716199787
32	38.03931176758542
33	37.86085582484283
34	37.74885920384586
35	37.67679643456921
36	37.62117841002701
37	37.61220213093439
38	37.5620016692591
39	37.883347128625026
40	38.064779694581375
41	38.20667412344766
42	38.18184012980822
43	38.33628165007323
44	38.34278144184785
45	38.31764060274028
46	38.35346326827699
47	38.30796620700738
48	38.28621819502288
49	38.250519946313155
50	38.32587630548182
51	38.34429616734458
52	38.34118303122344
53	38.14191862102709
54	38.17492660271214
55	38.25153848565466
56	38.262927809357876
57	38.1893774690507
58	38.154928819504015
59	38.0890098716359
60	38.06781013300998
61	38.11360268424367
62	38.12524725992922
63	38.038979248803784
64	38.08134515326104
65	38.00302574811172
66	38.06227654651474
67	37.964426661834814
68	37.914305441829086
69	37.963142502442054
70	37.959338655444135
71	37.885172649330435
72	37.835188189090864
73	37.83951068639332
74	37.83389711765216
75	37.71973431082829
76	36.8036956734789
77	37.19394830628954
78	37.63246306560593
79	37.74158378177289
80	37.86683425086629
81	37.87778095677034
82	37.906397073834725
83	37.820170288126164
84	37.736967769376626
85	37.74844892454737
86	37.67700354908873
87	37.689691596852946
88	37.65992487099777
89	37.58975674288596
90	37.54352651102879
91	37.46670529183769
92	37.429442945874484
93	37.38633078731412
94	37.20420553561074
95	37.2271559967306
96	37.23412136417126
97	37.16797357821066
98	36.90819815552054
99	36.99214989067859
100	35.02405737590594
