Base Position	Mean Q_score
0	31.29441470150947
1	31.488320138096107
2	35.226987606104615
3	36.05964751449513
4	36.27077672460659
5	39.66192232026364
6	39.770554139050745
7	39.83314458822687
8	40.08178593648452
9	40.15548307495304
10	40.191889645617735
11	40.19495635174237
12	40.14967334660217
13	40.14665342489882
14	40.14490065882279
15	40.14659750355621
16	40.057405077116464
17	40.097437567331916
18	40.11255731091607
19	40.11323039745439
20	40.08365147585814
21	40.13409988719286
22	40.077833541198295
23	40.11138093229423
24	40.063330455203115
25	40.0625352046425
26	39.999088084490126
27	40.029335524164026
28	39.98498338518536
29	40.00982379785611
30	39.92290079655342
31	39.9790792419807
32	39.97168857243557
33	40.01009697488379
34	40.02466478073842
35	40.01473227043866
36	40.00230030454713
37	39.98389279210272
38	39.99694691465625
39	39.99120199076596
40	39.97897027573367
41	39.96546590600104
42	39.953867091973436
43	39.95048253942793
44	39.86905674992602
45	39.90748545664387
46	39.91561308657555
47	39.91511977742459
48	39.911192847076535
49	39.90542838032672
50	39.909212842382864
51	39.89988590692489
52	39.82508548520521
53	39.859752064563516
54	39.8669770851089
55	39.865129734976826
56	39.814072364755376
57	39.83381437532138
58	39.82544402476647
59	39.81796063239001
60	39.802245804503386
61	39.795115114210674
62	39.74779762125329
63	39.76569981118721
64	39.756663903593974
65	39.74901342399867
66	39.738805114036396
67	39.727364504109666
68	39.716310267513826
69	39.62580280121088
70	39.64668946497742
71	39.64657711468545
72	39.6414199147999
73	39.623783626197046
74	39.60223842728542
75	39.58191977546185
76	38.91461580853209
77	39.28713959709899
78	39.39250175166626
79	39.43340944050401
80	39.52146271281624
81	39.53075775365067
82	39.51088714937699
83	39.49771737708768
84	39.48365573975476
85	39.47782858357246
86	39.44017558455569
87	39.29626061342244
88	39.33761465778761
89	39.34320831486914
90	39.33052406842742
91	39.29066145726789
92	39.25790085662022
93	39.20411916102081
94	39.18500226815612
95	39.191054886332466
96	39.17389803229631
97	38.95221880828489
98	39.009791480226944
99	39.087655816234175
100	37.95150215216798
