321 0
1 1
1 5
1 6
1 7
1 9
3 10
1 11
1 13
2 14
3 16
1 17
2 18
2 19
1 20
4 21
5 22
3 23
4 24
2 25
4 26
7 27
9 28
3 29
3 30
15 31
7 32
18 33
11 34
16 35
18 36
16 37
15 38
37 39
35 40
36 41
25 42
40 43
43 44
41 45
81 46
66 47
98 48
94 49
115 50
130 51
152 52
171 53
185 54
204 55
245 56
292 57
314 58
350 59
364 60
426 61
514 62
540 63
560 64
650 65
647 66
697 67
753 68
825 69
902 70
931 71
1004 72
1076 73
1101 74
1253 75
1208 76
1289 77
1341 78
1455 79
1544 80
1562 81
1629 82
1718 83
1783 84
1842 85
1927 86
1965 87
2022 88
2253 89
2260 90
2338 91
2434 92
2382 93
2584 94
2911 95
6268 96
17444 97
75429 98
3897812 101
