7100 0
2 1
8 2
5 3
8 4
12 5
9 6
3 7
7 8
8 9
13 10
10 11
20 12
14 13
16 14
16 15
24 16
17 17
28 18
11 19
9 20
16 21
24 22
30 23
32 24
44 25
42 26
63 27
110 28
107 29
118 30
142 31
139 32
135 33
156 34
207 35
212 36
238 37
255 38
304 39
338 40
337 41
391 42
409 43
417 44
441 45
526 46
568 47
651 48
678 49
762 50
819 51
884 52
916 53
985 54
1097 55
1165 56
1200 57
1382 58
1524 59
1676 60
1898 61
1981 62
2023 63
2265 64
2423 65
2692 66
2833 67
3044 68
3310 69
3629 70
3986 71
4186 72
4649 73
4814 74
5284 75
5769 76
6466 77
6607 78
7231 79
7580 80
8269 81
8793 82
9470 83
10153 84
10972 85
11818 86
12246 87
13123 88
13727 89
14537 90
15591 91
16390 92
17141 93
18438 94
20018 95
30175 96
62985 97
228316 98
11188462 101
