##FastQC	0.11.5
>>Basic Statistics	pass
#Measure	Value
Filename	22_3H_both_S16_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	4050899
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1103	10-11	-0.6061081946285611
1103	12-13	-0.5416633811818272
1103	14-15	-0.6333914740542568
1103	16-17	-0.5692016839568765
1103	18-19	-0.3832765482354503
1103	20-21	-0.30178243250698245
1103	22-23	-0.553123375168596
1103	24-25	-0.4291729025514286
1103	26-27	-0.36002690757431566
1103	28-29	-0.472423488685898
1103	30-31	-0.4720004565884608
1103	32-33	-0.3972751590631205
1103	34-35	-0.5658138827172507
1103	36-37	-0.649703983834101
1103	38-39	-0.8434121238579522
1103	40-41	-0.8564072193801877
1103	42-43	-0.6796752074023473
1103	44-45	-0.5389392255171686
1103	46-47	-0.5449951479417834
1103	48-49	-0.2986234500331335
1103	50-51	-0.40883556042375346
1103	52-53	-0.481737803228377
1103	54-55	-0.3642180316246808
1103	56-57	-0.4124555428731327
1103	58-59	-0.5887946889646898
1103	60-61	-0.4224040866836134
1103	62-63	-0.34993084659191
1103	64-65	-0.3560395255229025
1103	66-67	-0.3132180649231202
1103	68-69	-0.46249496290558767
1103	70-71	-0.42028012755496036
1103	72-73	-0.3151881754273944
1103	74-75	-0.4409947308349089
1103	76-77	-0.5169882120961873
1103	78-79	-0.30374000886331487
1103	80-81	-0.38529029874782594
1103	82-83	-0.557389032885844
1103	84-85	-0.5376214806074486
1103	86-87	-0.4489446940983868
1103	88-89	-0.6614036778675612
1103	90-91	-0.7425463723026695
1103	92-93	-0.5918704718189289
1103	94-95	-0.44793484461145994
1103	96-97	-0.6122775986828941
1103	98-99	-0.5377890519993755
1103	100-101	-0.6237997206366188
1104	1	-0.5239708018903535
1104	2	-0.5482360858740591
1104	3	-1.6459824460170154
1104	4	-1.4824616804711184
1104	5	-1.1516897929544783
1104	6	-1.3298521696529804
1104	7	-1.4571187045621201
1104	8	-1.550764482579119
1104	9	-1.0170392099773977
1104	10-11	-0.9029216768615811
1104	12-13	-0.3040626067172312
1104	14-15	-0.1652969446117254
1104	16-17	-0.33015239332574
1104	18-19	-0.38386558293727546
1104	20-21	-0.30681145803119136
1104	22-23	-0.2626164245516023
1104	24-25	-0.17561584418006504
1104	26-27	-0.240431721541718
1104	28-29	-0.24300352226455146
1104	30-31	-0.18167848524861085
1104	32-33	-0.09628852781514041
1104	34-35	-0.3829254797463122
1104	36-37	-0.29955233161916794
1104	38-39	-0.5320179486398473
1104	40-41	-0.5677713533027742
1104	42-43	-0.37262432758667785
1104	44-45	-0.18416861146181418
1104	46-47	-0.13260724421963488
1104	48-49	-0.021710223188684097
1104	50-51	-0.0861124747020412
1104	52-53	-0.13790135705355766
1104	54-55	-0.055152394773628544
1104	56-57	-0.1722019342563854
1104	58-59	-0.10358116482407098
1104	60-61	-0.07080286685680903
1104	62-63	-0.15422892984459935
1104	64-65	-0.2799462007363118
1104	66-67	-0.15900471689958806
1104	68-69	-0.1875947281704171
1104	70-71	-0.36115465219839393
1104	72-73	-0.14599094268132973
1104	74-75	-0.11044258308880472
1104	76-77	-0.25247828513784754
1104	78-79	-0.11274387330046665
1104	80-81	-0.23188757753217715
1104	82-83	-0.3066951728384808
1104	84-85	-0.10951435635176665
1104	86-87	-0.06550274270595935
1104	88-89	-0.23753785881604728
1104	90-91	-0.2531607505924214
1104	92-93	-0.17073213953892008
1104	94-95	-0.3871261179155283
1104	96-97	-0.2743288709129885
1104	98-99	-0.1579891570688048
1104	100-101	-0.22853227612571203
1105	1	-0.4366238501835191
1105	2	-0.6458871484006252
1105	3	-1.4665958725148016
1105	4	-1.1811166017589514
1105	5	-0.9052801079955017
1105	6	-1.5571106915712818
1105	7	-1.590078469875813
1105	8	-1.4123551551712765
1105	9	-1.314994417268423
1105	10-11	-1.2021624087250018
1105	12-13	-0.4440600570909794
1105	14-15	-0.3322400596590853
1105	16-17	-0.3325971680817261
1105	18-19	-0.16223634159063494
1105	20-21	-0.16402231777949794
1105	22-23	-0.19870404570127675
1105	24-25	-0.20602590781134467
1105	26-27	-0.2927146742352065
1105	28-29	-0.24618014536002164
1105	30-31	-0.2585654821170209
1105	32-33	-0.162391473123769
1105	34-35	-0.2690260187508784
1105	36-37	-0.3560690971089997
